MakeModel,Crew,Seats,CruiseSpeed,GPH,FuelType,MTOW,EmptyWeight,Price,Ext1,LTip,LAux,LMain,Center1,Center2,Center3,RMain,RAux,RTip,RExt2,Engines,EnginePrice,
Aermacchi - Lockheed AL-60,0,8,218,35,0,2051,1068,421050.00,0,0,0,0,125,0,0,0,0,0,0,1,44000.00,
Aero Design AC500C,0,7,203,37,0,2722,1746,326550.00,0,0,0,30,96,0,0,30,0,0,0,2,44000.00,
Aero Design AC680S,0,7,210,34,0,3175,2005,342300.00,0,0,0,60,103,0,0,60,0,0,0,2,44000.00,
Aero Design AC690,0,8,200,60,1,4683,2810,362250.00,0,0,0,192,0,0,0,192,0,0,0,2,114000.00,
Aero Vodochody L-39,0,2,435,700,1,9233,4980,245000.00,0,0,0,200,300,0,0,200,0,0,0,1,160000.00,
Aeronca Champion,0,2,80,4,0,533,325,19800.00,0,0,0,0,13,0,0,0,0,0,0,1,22000.00,
Agusta A109,0,8,130,60,1,2722,1930,210000.00,0,0,0,0,91,0,0,0,0,0,0,2,114000.00,
Airbus A320,12,150,454,960,1,73500,42220,0.00,0,0,232,1815,2166,790,790,1815,232,0,0,2,210000.00,
Airbus A321,12,185,477,1835,1,92986,48038,0.00,0,0,780,2040,2150,0,0,2040,780,0,0,2,210000.00,
Aircreation 582SL,0,2,60,4,0,446,168,31800.00,0,0,0,0,10,0,0,0,0,0,0,1,22000.00,
Airspeed AS-57 Ambassador ,4,47,260,310,0,23864,16062,3220500.00,0,0,0,110,362,362,0,110,0,0,0,2,66000.00,
Alenia C-27J Spartan,4,50,300,430,1,30500,14620,3928500.00,0,0,0,1499,2313,0,0,1499,0,0,0,2,143000.00,
Alenia C-27J Spartan (IRIS),4,50,300,430,1,30500,14620,3928500.00,0,427,1200,0,0,0,0,0,1200,427,0,2,143000.00,
American Champion Scout,0,3,112,8,0,1005,597,25200.00,0,0,0,18,0,0,0,18,0,0,0,1,22000.00,
Antonov An-14,0,8,94,23,0,3630,2600,199380.00,0,0,0,52,0,0,0,52,0,0,0,2,66000.00,
Antonov AN-2,0,13,100,60,0,5500,3330,297000.00,0,0,0,158,0,0,0,158,0,0,0,1,66000.00,
Antonov An-24,4,50,260,305,1,21000,13800,3303750.00,0,0,0,733,0,0,0,733,0,0,0,2,143000.00,
Antonov An-26 Curl,3,42,237,350,1,20820,13400,2691830.00,0,0,100,500,300,0,0,500,100,0,0,2,143000.00,
Antonov An-28,1,20,180,108,1,6500,4123,828600.00,0,90,0,197,0,0,0,197,0,90,0,2,114000.00,
Antonov An-32,4,53,300,340,1,27000,16800,4293000.00,0,0,0,920,0,0,0,920,0,0,0,2,143000.00,
ATR 42-500,3,42,300,310,1,18600,11250,3364500.00,0,0,0,758,0,0,0,758,0,0,0,2,143000.00,
ATR 72-500,6,70,250,200,1,22000,12950,4770000.00,0,0,0,660,0,0,0,660,0,0,0,2,143000.00,
Auster J/1 Autocrat,0,3,95,6,0,839,470,79200.00,0,0,0,0,18,0,0,0,0,0,0,1,22000.00,
Australia GAF N22 Nomad,0,14,160,62,1,4989,2925,558900.00,0,0,53,166,0,0,0,166,53,0,0,2,114000.00,
Aviat A-1 Husky,0,3,121,9,0,998,652,26850.00,0,0,0,26,0,0,0,26,0,0,0,1,22000.00,
Avro Anson MK-1,0,6,155,42,0,3470,2667,232800.00,0,0,35,35,0,0,0,35,35,0,0,2,66000.00,
BAC Jet Provost T5,0,2,350,135,1,4173,2222,68250.00,0,57,0,151,0,0,0,151,0,57,0,1,114000.00,
BAe 146-100 (Avro RJ70),7,84,420,500,1,38102,23300,9804000.00,0,0,0,750,1500,0,0,750,0,0,0,4,210000.00,
BAe Jetstream 32,1,21,250,210,1,8391,4360,1249500.00,0,0,0,280,0,0,0,280,0,0,0,2,143000.00,
BAe Jetstream 41,2,31,240,200,1,11000,6415,1818000.00,0,0,0,439,0,0,0,439,0,0,0,2,143000.00,
Basler BT-67,3,37,205,150,1,13041,7144,1987500.00,0,390,200,202,0,0,0,202,200,390,0,2,114000.00,
Beagle B 206 Basset,0,6,190,32,0,3232,1979,362400.00,0,0,0,97,0,0,0,97,0,0,0,2,44000.00,
Beech Debonair,0,4,161,12,0,1360,791,132300.00,0,0,0,37,0,0,0,37,0,0,0,1,44000.00,
Beech Queen Air 80S,0,11,180,34,0,3622,2173,504300.00,0,0,0,71,150,0,0,71,0,0,0,2,114000.00,
Beech T-34 Mentor,0,2,180,15,0,1400,1018,93000.00,0,0,0,22,0,0,0,22,0,0,0,1,44000.00,
Beechcraft 17,0,5,170,13,0,1941,1113,237150.00,0,0,23,23,29,0,0,23,23,0,0,1,66000.00,
Beechcraft 18,0,10,170,45,0,4495,2576,411750.00,0,0,25,76,80,0,0,76,25,0,0,2,66000.00,
Beechcraft 1900C,1,21,220,120,1,7579,4422,1032000.00,0,0,93,242,0,0,0,242,93,0,0,2,143000.00,
Beechcraft 1900C Freighter,1,2,220,120,1,7983,4045,603000.00,0,0,93,242,0,0,0,242,93,0,0,2,143000.00,
Beechcraft 1900D,1,21,230,135,1,7800,4815,1140000.00,0,0,93,242,0,0,0,242,93,0,0,2,143000.00,
Beechcraft Baron 58,0,6,192,28,0,2556,1774,258600.00,0,0,0,71,0,0,0,71,0,0,0,2,44000.00,
Beechcraft Baron 58 - tip tanks (Dreamfleet),0,6,192,28,0,2556,1774,258600.00,0,29,0,71,0,0,0,71,0,29,0,2,44000.00,
Beechcraft Bonanza A36,0,6,160,15,0,1750,1148,224250.00,0,0,0,37,0,0,0,37,0,0,0,1,44000.00,
Beechcraft Bonanza F33,0,6,160,12,0,1542,1000,227400.00,0,0,0,40,0,0,0,40,0,0,0,1,44000.00,
Beechcraft Bonanza V35,0,6,160,12,0,1548,1000,227400.00,0,0,0,40,0,0,0,40,0,0,0,1,44000.00,
Beechcraft Duchess 76,0,4,154,22,0,1772,1116,161700.00,0,0,0,52,0,0,0,52,0,0,0,2,22000.00,
Beechcraft Duke B60,0,6,160,40,0,3100,2007,246000.00,0,0,0,116,0,0,0,116,0,0,0,2,44000.00,
Beechcraft King Air 200,0,14,245,113,1,5670,3675,837000.00,0,0,80,195,0,0,0,195,80,0,0,2,114000.00,
Beechcraft King Air 300,0,15,257,90,1,6363,4009,984900.00,0,0,80,190,0,0,0,190,80,0,0,2,114000.00,
Beechcraft King Air 350,0,15,248,142,1,6804,4123,892500.00,0,0,80,190,0,0,0,190,80,0,0,2,114000.00,
Beechcraft King Air C90,0,12,240,95,1,4581,3005,715350.00,0,0,0,192,0,0,0,192,0,0,0,2,114000.00,
Beechcraft Queen Air,0,12,180,30,0,3493,2449,562500.00,0,0,10,0,150,0,0,0,10,0,0,2,114000.00,
Beechcraft Royal Turbine Duke B60,0,6,265,66,1,3197,2109,407700.00,0,0,0,130,0,0,0,130,0,0,0,2,44000.00,
Beechcraft Twin Bonanza 50,0,8,180,20,0,2710,1778,357000.00,0,0,0,71,0,0,0,71,0,0,0,2,44000.00,
Bell 205A-1/UH-1C,0,7,105,28,1,3158,2497,159600.00,0,0,0,0,91,0,0,0,0,0,0,1,114000.00,
Bell 206B,0,5,115,29,1,1452,799,107550.00,0,0,0,0,91,0,0,0,0,0,0,1,114000.00,
Bell 206L RTW N3911Z,0,2,115,29,1,1500,799,107550.00,0,0,0,0,242,0,0,0,0,0,0,1,114000.00,
Bell 212,0,14,100,137,1,5080,2516,317504.00,0,0,0,0,326,0,0,0,0,0,0,2,114000.00,
Bell 407,0,7,128,42,1,2268,1178,186300.00,0,0,0,0,127,0,0,0,0,0,0,1,114000.00,
Bell 412,0,15,135,180,1,5397,3156,307500.00,0,0,0,0,326,0,0,0,0,0,0,2,114000.00,
Bell 430,0,8,139,65,1,4086,2354,223650.00,0,0,0,0,247,0,0,0,0,0,0,2,114000.00,
Bell 430 RTW N430Q,0,8,139,65,1,4086,2354,223650.00,0,0,0,24,247,105,0,24,0,0,0,2,114000.00,
Bell 47G-2,0,3,80,13,0,1295,788,34350.00,0,0,0,22,0,0,0,22,0,0,0,1,22000.00,
Bell UH-1H Huey,0,13,90,90,1,4309,2358,256500.00,0,0,0,0,220,0,0,0,0,0,0,1,143000.00,
Bellanca 260,0,4,176,12,0,1136,794,145800.00,0,0,0,29,0,0,0,29,0,0,0,1,44000.00,
Beriev BE-103,0,6,135,30,0,2270,1680,171000.00,0,0,0,68,0,0,0,68,0,0,0,2,22000.00,
Boeing 221A Monomail,0,6,135,40,0,3629,2067,201000.00,0,0,0,150,0,0,0,150,0,0,0,1,22000.00,
Boeing 247D,0,10,164,50,0,7623,4055,0.00,0,0,0,100,73,0,0,100,0,0,0,2,66000.00,
Boeing 377,6,75,300,750,0,66818,38083,5910000.00,0,0,1520,1770,1210,0,0,1770,1520,0,0,4,66000.00,
Boeing 727-100/200,12,135,495,1500,1,76726,45400,0.00,0,0,0,1818,2550,1000,1000,1818,0,0,0,3,160000.00,
Boeing 737-800,12,162,435,890,1,70535,41145,0.00,0,0,0,1288,4299,0,0,1288,0,0,0,2,210000.00,
Boeing B-17G,12,11,210,205,0,29710,16391,2250000.00,0,540,425,425,410,410,0,425,425,540,0,4,143000.00,
Boeing Stearman,0,2,102,20,0,1232,878,52200.00,0,0,0,0,46,0,0,0,0,0,0,1,44000.00,
Boeing Vertol CH-47 Chinook,4,46,138,220,1,22680,10150,1699855.00,0,0,261,261,0,0,0,261,261,0,0,2,114000.00,
Bombardier Challenger 300,1,10,458,265,1,17622,10773,898350.00,0,0,0,1194,0,0,0,1194,0,0,0,2,160000.00,
Bombardier CL-415,1,11,205,380,1,21318,10546,1029646.00,0,0,0,776,2045,0,0,776,0,0,0,2,143000.00,
Bombardier CRJ-200ER,4,52,437,350,1,23178,9298,6784163.00,0,0,0,600,700,0,0,600,0,0,0,2,160000.00,
Bombardier CRJ700-ER,6,74,455,500,1,34132,19731,9285000.00,0,0,0,720,1580,0,0,720,0,0,0,2,160000.00,
Bombardier Dash-8 Q400,7,78,380,250,1,29256,17185,8526906.00,0,0,0,886,0,0,0,886,0,0,0,2,143000.00,
Bombardier Lear 60,1,11,447,280,1,10660,6641,1779402.00,0,0,0,241,835,0,0,241,0,0,0,2,160000.00,
Bristol Britannia 300,9,105,330,1000,1,83912,42469,9075000.00,0,0,2410,2004,1476,0,0,2004,2410,0,0,4,143000.00,
Bristol Mark 32 Superfreighter,1,20,190,343,0,19958,13585,749850.00,0,120,163,420,0,0,0,420,163,120,0,2,66000.00,
Britten Norman BN-2A Mk3-3 Trislander,0,16,145,66,0,4536,2485,626700.00,0,0,0,68,0,0,0,68,0,0,0,3,44000.00,
Britten-Norman BN-2B Islander,0,10,132,30,0,2993,1925,324900.00,0,0,0,68,0,0,0,68,0,0,0,2,66000.00,
Bucker Jungmann 131,0,2,105,12,0,680,390,50400.00,0,0,0,0,23,0,0,0,0,0,0,1,22000.00,
CASA CN235,4,47,245,136,1,16500,9800,3191700.00,0,0,347,347,0,0,0,347,347,0,0,2,143000.00,
Cessna 152 Aerobat,0,3,90,8,0,820,517,18600.00,0,0,0,13,0,0,0,13,0,0,0,1,22000.00,
Cessna 162 Skycatcher,0,2,113,6,0,599,382,61500.00,0,0,0,13,0,0,0,13,0,0,0,1,22000.00,
Cessna 172 Skyhawk,0,4,100,10,0,1180,748,72600.00,0,0,0,27,0,0,0,27,0,0,0,1,22000.00,
Cessna 177 Cardinal,0,4,125,10,0,1133,745,102000.00,0,0,0,25,0,0,0,25,0,0,0,1,22000.00,
Cessna 177RG Cardinal,0,4,130,12,0,1270,800,104000.00,0,0,0,31,0,0,0,31,0,0,0,1,22000.00,
Cessna 182 Skylane,0,4,125,14,0,1410,821,97800.00,0,0,0,46,0,0,0,46,0,0,0,1,22000.00,
Cessna 185 Skywagon,0,6,120,13,0,1519,727,197400.00,0,0,0,44,0,0,0,44,0,0,0,1,22000.00,
Cessna 195,0,5,145,13,0,1519,929,160350.00,0,0,0,40,0,0,0,40,0,0,0,1,22000.00,
Cessna 206 Stationair,0,6,150,16,0,1633,883,208200.00,0,0,0,44,0,0,0,44,0,0,0,1,22000.00,
Cessna 207 Stationair 8,0,8,144,15,0,1724,862,286650.00,0,0,0,40,0,0,0,40,0,0,0,1,22000.00,
Cessna 208 Caravan,0,14,182,50,1,3985,2075,657300.00,0,0,0,166,0,0,0,166,0,0,0,1,114000.00,
Cessna 210 Centurion,0,6,160,15,0,1800,1023,224250.00,0,0,0,45,0,0,0,45,0,0,0,1,44000.00,
Cessna 310,0,6,156,24,0,2585,1642,208800.00,0,0,41,51,0,0,0,51,41,0,0,2,44000.00,
Cessna 337 Skymaster,0,6,140,18,0,1996,1204,191100.00,0,0,0,75,0,0,0,75,0,0,0,2,44000.00,
Cessna 340A,0,6,217,30,0,2719,1780,359100.00,0,0,31,50,0,0,0,50,31,0,0,2,44000.00,
Cessna 404 Titan,0,10,217,30,0,3810,2192,554400.00,0,0,0,174,0,0,0,174,0,0,0,2,66000.00,
Cessna 414A Chancellor,0,8,240,36,0,3068,1984,538200.00,0,0,0,100,0,0,0,100,0,0,0,2,66000.00,
Cessna 421 Golden Eagle,0,8,230,30,0,3451,2443,451500.00,0,0,0,121,0,0,0,121,0,0,0,2,66000.00,
Cessna 441 Conquest II,0,11,230,60,1,4501,2592,696000.00,0,0,0,241,0,0,0,241,0,0,0,2,114000.00,
Cessna Citation CJ1,0,8,360,150,1,4808,2930,568500.00,0,0,0,240,0,0,0,240,0,0,0,2,160000.00,
Cessna Citation II,0,10,400,160,1,6577,3220,732000.00,0,0,0,371,0,0,0,371,0,0,0,2,160000.00,
Cessna Citation X,1,12,450,200,1,16511,9797,1110000.00,0,0,0,522,896,0,0,522,0,0,0,2,160000.00,
Cessna L-19/O-1 Birddog,0,3,125,8,0,1089,682,104100.00,0,0,0,22,0,0,0,22,0,0,0,1,22000.00,
Cessna Mustang,0,6,330,100,1,5350,3960,390000.00,0,0,0,193,0,0,0,193,0,0,0,2,160000.00,
Cessna T-50 Bobcat,0,5,125,28,0,2591,1841,156000.00,0,0,0,60,0,0,0,60,0,0,0,2,66000.00,
Cirrus SR20,0,4,156,10,0,1360,938,129900.00,0,0,0,28,0,0,0,28,0,0,0,1,44000.00,
Cirrus SR22 G2,0,4,200,10,0,1545,1023,156000.00,0,0,0,40,0,0,0,40,0,0,0,1,44000.00,
Columbia 400,0,4,230,20,0,1636,1136,186000.00,0,0,0,49,0,0,0,49,0,0,0,1,44000.00,
Commander 112,0,4,143,12,0,1204,695,116100.00,0,0,0,24,0,0,0,24,0,0,0,1,22000.00,
Commander 115,0,4,190,31,0,1500,976,138450.00,0,0,0,45,0,0,0,45,0,0,0,1,44000.00,
Consolidated PBY5 Catalina,2,26,115,110,0,16098,9384,652500.00,0,0,0,875,0,0,0,875,0,0,0,2,66000.00,
Convair 340/440,4,52,230,205,0,22544,13828,3114750.00,0,0,0,863,0,0,0,863,0,0,0,2,66000.00,
Convair 580,5,56,282,300,1,26371,14772,4133400.00,0,0,0,863,0,0,0,863,0,0,0,2,143000.00,
Curtis C46,4,52,135,160,0,20000,13710,1737000.00,0,0,0,703,0,0,0,703,0,0,0,2,66000.00,
Curtiss Robertson Robin J-1,0,3,100,12,0,910,699,77400.00,0,0,0,25,0,0,0,25,0,0,0,1,22000.00,
Dassault Falcon 7X,1,16,480,600,1,31338,15059,1296000.00,0,0,0,1756,1809,0,0,1756,0,0,0,3,114000.00,
DeHavilland Dash 7,4,54,230,300,1,20000,12568,3738000.00,0,0,421,310,0,0,0,310,421,0,0,4,143000.00,
DeHavilland Dash 8 100/200,3,39,260,200,1,16400,10400,2586000.00,0,0,0,420,0,0,0,420,0,0,0,2,143000.00,
DeHavilland Dash 8 Q300,4,55,285,220,1,19500,11791,4437000.00,0,0,0,420,0,0,0,420,0,0,0,2,143000.00,
DeHavilland DH 89 Dragon Rapide,0,9,100,20,0,2494,1330,219000.00,0,0,0,45,0,0,0,45,0,0,0,2,22000.00,
DeHavilland DH-82 Tiger Moth,0,2,95,9,0,816,512,47550.00,0,0,0,0,20,0,0,0,0,0,0,1,66000.00,
DeHavilland DH104 Dove,0,10,174,40,0,3856,2563,427800.00,0,0,0,101,0,0,0,101,0,0,0,2,66000.00,
DeHavilland DH114 Heron,1,16,145,64,0,5909,3704,598800.00,0,0,45,122,0,0,0,122,45,0,0,4,66000.00,
DeHavilland DH80A Puss Moth,0,3,108,7,0,930,575,77250.00,0,0,0,27,0,0,0,27,0,0,0,1,44000.00,
DeHavilland DHC-1 Chipmunk,0,2,136,12,0,837,537,70200.00,0,0,0,30,0,0,0,30,0,0,0,1,22000.00,
DeHavilland DHC-2 Beaver,0,9,109,18,0,2220,1293,210000.00,0,0,0,0,35,35,25,0,0,0,0,1,44000.00,
DeHavilland DHC-2 Turbo Beaver,0,9,140,50,1,2727,1268,283500.00,0,0,0,80,80,0,0,23,0,0,0,1,114000.00,
DeHavilland DHC-3 Otter,0,14,130,79,0,3629,2110,424050.00,0,0,0,165,0,0,0,165,0,0,0,1,66000.00,
DeHavilland DHC-3-T Turbo Otter,0,16,135,49,1,3931,1710,596550.00,0,0,0,85,85,0,0,85,0,0,0,1,114000.00,
DeHavilland DHC-4 Caribou,2,32,158,200,0,12954,8293,1152000.00,0,0,0,415,0,0,0,415,0,0,0,2,66000.00,
DeHavilland DHC-5 Buffalo,4,46,240,215,1,22364,11436,2852250.00,0,0,0,420,0,0,0,420,0,0,0,2,143000.00,
DeHavilland DHC-6 300 Twin Otter (Aerosoft Extended),1,21,170,110,1,5669,3265,783000.00,0,37,0,0,181,197,0,0,0,37,0,2,114000.00,
DeHavilland DHC-6 Twin Otter,1,21,170,110,1,5669,3265,783000.00,0,0,0,208,0,0,0,208,0,0,0,2,114000.00,
Diamond DA-42 Twin Star,0,4,151,11,1,1785,1263,116250.00,0,0,0,26,0,0,0,26,0,0,0,2,44000.00,
Diamond DA20 Katana,0,2,95,5,0,757,519,31650.00,0,0,0,0,20,0,0,0,0,0,0,1,22000.00,
Diamond DA40D DiamondStar,0,4,135,5,1,1150,735,124350.00,0,0,0,21,0,0,0,21,0,0,0,1,22000.00,
Dornier 228,1,21,230,130,1,6400,3258,1270800.00,0,0,0,300,0,0,0,300,0,0,0,2,114000.00,
Dornier 328,2,33,265,244,1,13990,8920,2307300.00,0,0,0,300,0,0,0,300,0,0,0,2,143000.00,
Dornier Do-27 A4,0,6,125,16,0,1572,1052,170700.00,0,0,0,48,0,0,0,48,0,0,0,1,22000.00,
Dornier Do-27 B1,0,6,125,16,0,1570,1070,170700.00,0,0,0,28,0,0,0,28,0,0,0,1,22000.00,
Dornier Do-28 A/B,0,6,130,27,0,2714,1726,205650.00,0,0,0,30,0,0,0,30,0,0,0,2,44000.00,
Douglas A-26,0,9,200,150,0,15909,10168,322500.00,0,290,100,125,0,0,0,0,100,290,0,2,66000.00,
Douglas C117D,2,32,170,85,0,14061,8600,1452750.00,0,411,200,202,0,0,0,202,200,411,0,2,66000.00,
Douglas DC-2,1,18,150,90,0,8436,5604,595500.00,0,0,75,0,180,0,0,0,75,0,180,2,66000.00,
Douglas DC-2 (FSX),1,18,150,80,0,8436,5604,595500.00,0,0,75,0,180,180,0,0,75,0,0,2,66000.00,
Douglas DC-3,2,28,140,95,0,11909,7325,1010250.00,0,0,0,202,200,200,0,202,0,0,0,2,66000.00,
